id,verb,object,detail
0,win,protection,malware virus trojan worm
1,scan,unknown file,real time
1,scan,malware,NA
2,hidden,program,other software
2,display,ad slow,your pc
2,redirect,other website,NA
3,block,virus,other malware
4,scan,web twitter facebook link,NA
5,protect,ransomware,running program
5,monitor,suspicious behavior,NA
6,include,free version,NA
7,detect,virus malware,your home network
8,take,surprise,NA
9,play,maximum power,no interruption
10,remember,the rest,NA
11,threat,don t,your network
11,threat,way,eset antivirus inspects
11,expect,ssl,communication channel
11,encrypt,http,intelligently scan compressed file
11,find,hidden threat,other product
11,miss,proactive protection,the earliest point
11,ensure,your computer,NA
12,scan,microsoft outlook outlook express mozilla thunderbird window live mail window mail,other imap mail client
12,ensure,your email,virus
12,ensure,other threat,NA
13,enter,your pc,removable medium
13,enter,such a usb thumb drive,self running medium eset antivirus scan autorun inf
13,run,associated file,the medium
13,insert,addition,any file
13,scan,any removable device,a full scan
13,access,the medium power user,eset antivirus
13,perform,additional level,NA
14,eset,sysinspector,eset sysrescue simplify diagnosing
14,eset,cleaning,infected system
14,allow,deep scan,system process
14,find,hidden threat,bootable rescue cd dvd or usb drive
14,repair,an infected computer,NA
15,eset,antivirus,technology
15,prevent,malicious software,your system
16,energy,sipping battery mode,laptop battery life
16,compromise,security,NA
17,advanced,protection status screen,threat detection
18,run,full screen application,game video player
18,run,presentation,NA
19,password,protection prevents,eset antivirus
19,uninstalle,stranger,NA
20,shortcut,simplify use,visually impaired user
22,ensure,the application,your pc
22,ensure,trusted application mode website,malicious software
23,fast,pc performance,NA
25,instant,safety check,file application
25,instant,website,NA
26,rollback,harmful malware activity,NA
27,do,sonar technology,your pc
27,do,any suspicious behavior,threat
28,scan,the file,online threat
29,clean,your pc,our powerful threat removal layer target
29,remove,infection,le sophisticated product
30,harness,global power,only norton
30,bring,the ultra fast network defense layer,a multitude
30,block,threat,your pc
31,protection,the future,our exclusive reputation
31,stop,online threat,bad guy
32,keep,trespasser browser protection block unsafe website,software
32,steal,personal information,your pc
33,stumble,the wrong part,the web
33,block,phishing website,your password credit card number
34,facebook,link,t
34,worry,a facebook news feed,dangerous downloads
34,contain,fraudulent link,NA
35,protect,your identity,your user name
35,enter,password,NA
36,deliver,file,NA
37,pop,warning,restart
37,restart,request,NA
38,run,update,your pc
38,use,no need,NA
39,fix,update renew,norton product
39,install,additional pc,the product key
39,install,cd,NA
40,work,the internet,a few simple click
41,eliminate,threat,other technology
42,browser,protection,online threat
42,block,a your browser load,NA
43,stay,detects,threat
43,eliminate,haven,t
43,watch,your pc,suspicious activity
44,threat,removal layer target,threat le sophisticated product
45,improve,performance,safe file
45,scan,unknown file,NA
46,download,insight,dangerous application
47,send,important product,feature update
48,fix,update renew,norton antivirus
48,install,the internet,your available norton protection
48,bring,other device,your mac computer smartphone
48,tablet,one place,NA
49,bandwidth,management,norton data usage update
49,use,your monthly data allotment,overage fee
50,update,your protection,NA
51,defend,new and emerging virus spyware,NA
52,identify,unknown malware,harmful activity
52,rollback,your pc,NA
53,hybrid,protection,the power
53,combine,the cloud,your device
54,instant,safety check examine file website,NA
55,automatic,exploit prevention,vulnerability
55,win,your pc,NA
56,enjoy,an uninterrupted gaming experience,NA
58,security,notification,public wi fi network
58,inform,potential threat,vulnerability
59,application,control,dangerous application
59,harm,your system,NA
60,alert,potentially malicious web site,NA
61,url,advisor,the reputation
61,inform,security,website link
62,unblock,your pc,a trojan
63,trust,application mode,only trusted application
63,run,your pc,NA
64,system,watcher technology,your pc
64,secure,malware dangerous behavior,NA
65,change,control help,the installation
65,prevent,unwanted program,NA
66,prevent,malicious network attack,NA
67,anti,banner block dangerous and annoying banner advert,NA
68,protect,spam message,NA
69,advanced,parental control,your child
69,keep,responsible online,NA
70,protect,data,online financial transaction
71,prevent,unauthorized remote access,your pc s webcam
72,track,your web browsing habit,your personal information
73,anti,phishing,phishing site
73,phishe,email,your money
73,steal,your identity,NA
74,include,quick launch defends,malware
74,capture,image,your pc screen
74,record,the key,NA
75,enter,your pc s physical keyboard,NA
76,privacy,protection,your private mobile communication
76,hide,automatic or remote activation,the mode
77,set,password protection shield,application s unauthorized un installation protection disability or configuration modification
78,manage,the security,all your device
78,manage,the web,NA
79,stop,virus,the web
79,download,file,NA
80,block,spyware  spyware,your computer
80,remove,existing spyware,the web
81,stop,hacker protects,your computer
81,stop,hacker,the internet
82,guard,important file,your computer
83,monitor,incoming and outgoing internet activity,suspicious application
83,look,data,NA
84,improve,your computer s performance,clutter
84,remove,freeing disk space,NA
85,provide,advance warning,site
85,send,spam install adware,online scam
86,scan,your computer,update
86,use,the new mcafee securitycenter,program
86,click,access,your computer security information
87,protect,virus,threat protection
87,protect,mcafee avert lab,worldwide virus activity
87,provide,immediate anti virus protection and removal solution,NA
88,update,daily update,a new version
88,instal,mcafee,no charge
88,get,your subscription,date
89,convenient,ongoing protection mcafee,a variety
89,offer,renewal option,your mcafee protection
90,real,people,real help support
90,support,mcafee s computer security expert,internet chat e mail
91,integrated,anti virus anti spyware,firewall technology
91,integrate,work,sophisticated multi pronged attack
92,spyware,protection detects,spyware
93,complete,inbound and outbound firewall protection,known good application
93,block,spyware trojan,NA
94,mcafee,systemguards,your computer
94,watch,specific behavior,virus spyware
94,signal,hacker activity,NA
95,mcafee,x ray,window detects
95,kill,rootkits,other malicious application
95,mcafee,window,other anti virus program
96,mcafee,siteadvisor,safety rating
96,add,site and search engine result,comprehensive spam adware
96,base,online scam safety test,NA
97,hide,your presence,the internet
97,make,your computer,hacker
98,mcafee,securitycenter,update
98,fix,potential security issue,NA
99,perform,full scan,all drive
100,hold,threat,your convenience
101,ignore,list,both the scanner and protection module
102,enhance,your malwarebytes,anti malware performance
103,remove,malware,NA
104,work,other anti malware utility,NA
105,command,line support,quick scanning
106,context,menu integration,scan file
106,file,demand,NA
107,threat,don t,way
107,expect,eset smart security inspects,ssl
