id,verb,object,detail
0,comprehensive,popup control,unwanted advertising
0,keep,your desktop,NA
1,open,several page,a single window
1,load,link,the background
1,leave,the page,NA
2,integrated,search,google
3,industry,leading accessibility,you type
3,find,page text,NA
4,simplify,privacy control,your track
5,see,the page,any other browser
6,add,specific functionality,visual change
6,add,the browser,NA
7,start,your desktop,NA
8,load,web page,a snap
9,run,web application,NA
10,navigate,web page,the same box
11,organize,tab,NA
12,get,your favorite website,just a click
13,try,minimalist star,NA
14,stay,the content,our secure browser
14,protect,fraud,malware
14,malware,the web,better privacy
14,try,our unlimited free vpn feature,NA
15,block,ons,ad blocker
15,make,content,rich webpage load
16,keep,track,t
16,get,enough online video don t,our new video pop
16,pop,a floating moveable video frame,other apps
16,miss,the action,NA
17,opera,speed,performance
17,feature,other ,the new battery saver feature
17,extend,laptop battery life,NA
18,build,the browser opera,the world
18,shop,any nasty surprise,your credit card bill
19,customize,opera download,the extension
19,customize,theme,opera s
19,add,ons catalog,the best browser experience
19,get,a personal touch,the animated theme
19,start,page,life
20,switch,device,opera sync
20,leave,open tab,other data
20,sync,your opera account,opera
20,set,a usb drive,our portable version
21,bring,the latest news,one spot
21,bring,the browser s start page,your news feed
21,add,preferred news source,the world
21,add,ition,the top article
22,set,the stage,immersive and rich experience
23,re,the browser,the new tab page
23,provide,meaningful suggestion,information
24,notification,internet explorer,dialog box
24,get,your way,all notification message
24,consolidate,the notification bar,the bottom
24,locate,the browser frame,NA
25,get,your favorite site,the window taskbar
25,open,internet explorer,NA
26,tear,tab,multiple site
26,rearrange,internet explorer,icon
26,rearrange,the taskbar,window
26,open,any tab,a new browser window
26,drag,that tab,your desktop
27,use,the navigational control,internet explorer
27,simplify,the back button,the address bar
27,simplify,search box,one new address bar
27,combine,the multiple menu,previous version
27,consolidate,a single menu,NA
28,cross,site scripting attack,a leading online threat
28,lead,their aim,vulnerability
28,exploit,the website,legitimate website
28,compromise,malicious content,your login information
28,record,password,your personal data
29,avoid,deceptive website,the address
29,know,the website,domain highlighting internet explorer
29,see,the true web address,a glance
29,highlight,the domain name,the address bar
29,identify,the site,NA
30,real,full screen mode,full desktop mode
31,online,your favorite content,maxthon online favorite service
31,protect,your privacy,a shared computer
32,browse,all the web page,a tab
32,arrange,main window,your navigation
33,type,the keywords,address bar
33,perform,a search,a keyword
33,drop,your mouse,NA
34,clean,the web page,popup window
34,remove,ad content block,NA
35,customizable,plugins,skin filter pack multi language
36,create,several standard message,a database
37,choose,which friend,your message
38,macroreplacement,unique system,nc
38,place,nl,your message
38,replace,your friend s name,the message
39,activate,the random message option,the program
39,activate,message,several message
39,create,your friend,a different message
40,search,drag text,browser
40,add,special search button,search bar
40,add,example news software image,the search button
40,begin,no use,search engine
40,switch,pop menu,direct drag drop text
41,be,search button,the search bar image
41,be,baidu google yahoo greenbrowser search search msn search google,baidu
41,like,powerful search bar,greenbrowser s user folder
42,use,program link,external toolbar
42,use,set external toolbar,greenbrowser
42,set,auto,NA
43,tab,bar icon,the state
43,show,page,blank page finish download
44,webgl,high dpi support,NA
45,powerful,developer tool,window store apps
45,use,javascript,NA
46,fast,website,prerender
46,cache,prioritization,NA
47,enhance,view,website and window store apps
47,use,javascript,NA
48,tile,support,tile notification
48,tile,r,NA
49,look,the window environment,NA
50,closed,caption,video
52,base,our own optimized layout engine goanna,NA
53,fork,mature mozilla code,NA
54,secure,additional security feature and security aware development,NA
55,support,a friendly active community,user
56,familiar,fully customizable interface,NA
57,support,full theme total freedom,any element s design
58,support,easily created lightweight theme skin,NA
59,smooth,page drawing and script processing,NA
60,increase,stability,fewer browser crash
61,support,many firefox extension,NA
62,support,a growing number,pale moon exclusive extension
63,grow,support,NA
65,update,your status,comment
65,make,the web,new flock
66,handle,javascript,NA
67,allow,flock,date
67,keep,all your friend,favorite feed
67,keep,the browser s performance top notch,NA
68,inform,feed content,social stream
68,leave,the web page,your social service
68,subscribe,r and atom feed,your friend
68,s,favorite content,NA
69,work,the channel,a tv use
69,see,just friend,facebook
69,see,twitter,all friend
69,create,any channel,NA
70,talk,the news,the talk button
70,write,a comment,the link
71,be,lot,people
71,personalize,their online experience,browser extension
71,personalize,a great way,that google chrome extension work
71,do,flock,NA
72,provide,the option,a free account
72,create,your favorite site,your social networking account
72,feed,all the group,your sidebar
72,access,your account,any flock browse
73,close,the selected browsing data,default
73,go,optionsã privacy dataã privacy,NA
74,make,efficient command,easy mouse gesture
74,make,mouse gesture,quite a lot
74,save,time,NA
75,use,control,the ie tab
75,visit,these page,NA
76,prevent,the display,ad
76,prevent,especially the adblock,coolnovo support
76,make,use,the existing blocking list
77,drop,a block,text
77,drop,the page,a page
77,search,the text,your default search engine
77,drag,the link,picture
77,open,the newtab page,NA
78,include,netants orbit qq xuanfeng,flashgetmini netx webthunder xunlei
80,open,multiple site,window
80,open,a single browser task web page,tab
80,prevent,your screen,NA
81,control,the web browser mouse gesture,quick access
81,provide,common function,crazy browser
83,crazy,browser,most pop up window
83,appear,page,the internet
84,build,web form filler,integration
84,support,roboform form filler,NA
85,build,popup killer suppresses,all annoying popup ad
85,browse,internet,NA
86,build,web form spell checker proof,your online posting
87,eliminate,ad banner,other unwanted component
87,eliminate,web page,address pattern
88,convenient,access,major web search engine
88,convenient,quick search bar,NA
90,navigate,your favorite site,your account
90,log,a single click,NA
91,seamless,integration,online translation engine
92,site,group,a collection
92,save,web site,a a group
92,open,a single click,NA
93,type,pre defined short alias,long url
93,browse,frequently visited internet site,NA
94,theworld,browser,the second multi thread frame browser
94,theworld,the world,internet explorer
94,avoid,web page,response
95,block,popup ad,ad
96,use,black list,ad
96,filter,the black list ,lower level
96,work,http protocol,regular expression
96,filter,every page item,NA
97,flash,filter unlock page script,all level proxy quick switch auto form
97,limit,quick medium saver privacy keeper mouse gesture custom hotkey drag drop link,NA
98,theworld,browser,special safe guard
98,keep,risk,more safe function
99,insist,multi thread download resumable download,a easy download manager
100,theworld,browser,skin
100,insist,plugins,your browse experience
100,insist,internet explorer,NA
101,take,full advantage,your pc
101,take,gpu powered graphic,compiled javascript
102,deliver,interoperability,web standard
103,create,next generation experience,graphical capability
104,shine,a site centric browsing experience,pinned site
105,online,your favorite content,maxthon online favorite service
105,protect,your privacy,a shared computer
106,browse,all the web page,a tab
106,arrange,main window,your navigation
107,type,the keywords,address bar
107,perform,a search,a keyword
107,drop,your mouse,NA
108,clean,the web page,popup window
108,remove,ad content block,NA
109,customizable,plugins,skin filter pack multi language
110,give,a better way,the net
110,open,one page,a time
110,open,tabbed browsing  several page,your homepage
110,close,a tab or window functionality,closed tab
110,close,window,NA
111,provide,almost infinite possibilies,your internet experience
111,instal,additional functionality,your own extension
111,provide,the rest,the seamonkey community
112,feed,detection notifies,web page
112,offer,r or atom feed,feed preview
112,view,their content,a reader
112,include,an internal reader,the mail newsgroups component
112,include,seamonkey,NA
113,search,your visited web page,the browser s location bar
113,learn,which page,NA
114,surf,the web,interruption
114,surf,annoying ad,NA
115,remove,offensive image,the rendering
115,speed,web site,NA
116,find,a you type,another way
116,navigate,a page,link
116,find,a word,phrase
117,session,restore,all your open window
117,bring,tab,the rare occasion
117,reopen,the browser,your computer
118,include,advanced security,password download
118,set,cookie manager web form autocompletion theme toolbar customization multi language,multi platform support
118,multi,web standard,NA
119,tabbed,mail,your mail
119,folder,parallel,control
119,work,message,more complex pattern
120,junk,mail control,control
120,take,your e mail,spammer seamonkey s adaptive junk mail control
120,get,use,the e mail
121,manage,your mail,customizable tag and mail view color code
121,manage,your e mail,view
122,manage,all your mail,one interface
123,feed,blog,a reader
123,ea,your reading,information
123,ea,the web,NA
124,seamonkey,mail newsgroups,enterprise
124,include,ready feature,such a s mime return receipt address book ldap support
124,return,digital signing,NA
125,get,dynamic image,table
125,improve,cs support,support
125,improve,positioned layer,all your document and website project composer
126,chat,irc network,this simple yet powerful irc client multiple network
126,keep,track,a familiar tabbed interface
127,change,the look,the chat
127,feel,motif,cs
128,dig,the document structure,web page
128,add,ons,even the seamonkey
