id,verb,object,detail
0,bring,the fastest transfer speed possible film maker recording artist,other window user
0,speed,a it data protection,NA
1,access,almost any type,mac formatted disk
1,include,hard drive dvd cd,a mac
1,mount,target disk mode,NA
2,macdrive,disk manager,partition
2,create,your mac disk,your pc
3,macdrive,disk repair,most error
3,fix,mac disk,NA
4,browse,time machine backup,a copy
4,folder,your pc,NA
5,use,a mac,apple boot camp utility
5,drive,vmware fusion,NA
6,favorite,quick access,most often used folder
7,drag,drop move file,q view
7,drag,other program,NA
8,paste,the q dir directory view,other program
9,folder,type zip,NA
10,view,large icon tile list detail thumbnail vista,NA
11,export,csv txt html,NA
12,menu,my computer,NA
13,screen,magnifier anything,the screen
14,color,different ,different item type
15,highlight,filter effective way,fast item highlighting
16,file,filter,quick and easy filtering
16,allow,the item,NA
17,column,all  support,function
18,link,fast folder access,NA
19,folder,select fast flexible  selection address bar desktop menu,my computer menu
20,multi,several ini file,q dir
22,own,installer,choose type
22,own,installation,element
22,install,language plugins icon shortcut default skin and ation type,all user
24,expand,main menu,tab tab management system quick launch system window
24,expand,my computer font,network printer trash extended configuration menu
24,extend,configuration option,NA
25,synchronize,dirs multirename tool,NA
26,predefine,search pattern,custom field
27,color,file name,type
28,change,icon color,font
29,drop,facility,copy
29,move,operation,NA
30,easy,configurable option,certain file type panel view
30,file,sorting mode,NA
31,encrypt,attribute,hard symbolic link support
32,plugin,module and command default s,archive management plugin ftp client network browser print manager
32,include,temporary panel,your own plugins
33,tunable,configuration color scheme customization,NA
34,define,just the view,each pane
34,need,your folder,NA
35,have,a full featured hi quality audio player,playlist
35,have,tag support play,background
35,play,winamp plugins,NA
36,use,a flexible concept,the clear definition
36,use,renaming rule,rule
36,include,information,NA
37,get,an overview,your photo
37,get,other image collection,NA
38,run,multi,any number
38,run,different operation,the same time
38,have,several copy command,NA
39,ef,commander,the first file manager
39,ef,this feature,your data
39,handle,the same way,your desktop or laptop computer
40,burn,www nero com,NA
41,use,ef commander,file
41,pack,whole folder,the common archive format
42,support,format zip ace arc,cab cpio gzip
42,support,img iso lha rar rpm sfx,tar
43,view,picture file,movie
43,play,vorbis flac wma,wav audio file
43,use,any other software,NA
44,enlarge,the number,available format
44,enlarge,ef commander,the background
44,remain,file,the internal viewer
44,manage,the quick view mode,NA
45,build,ftp client feature resume download,fxp server
46,ef,commander,full text
46,ef,hex editor,file
46,limit,your system resource,NA
47,split,large file,smaller part
47,recombine,the part,NA
48,check,the integrity,your data ef commandersupports
49,synchronize,your notebook,your lan
49,synchronize,your work station,NA
50,allow,file list,cab
51,unpack,some file,cab
51,unpack,any directory,NA
52,make,new cab,NA
54,build,file viewer,file
54,view,hex binary text,image format
55,file,archive,NA
56,build,archive handling zip,write cab
56,read, write rar,read
57,start,menu,NA
58,move,delete rename file,folder
59,verify,checksum,NA
60,file,property and context menu,NA
61,modification,file date,NA
62,search,archive,NA
63,multithreade,operation,extremely fast search result
64,duplicate,file,any other program
65,allow,extremely fast byte comparison,large file
66,search,multiple directory,drive
67,search,all file type,your search
67,narrow,specific file type,NA
68,delete,empty file,NA
69,click,a file,the tree list
69,display,a detailed information dialog,NA
70,delete,selected original file,NA
72,list,date,NA
74,create,self extracting archive,NA
75,view,content,file text html
75,view,picture format,NA
76,command,line,arbitrary command
76,execute,the system shell,NA
77,support,long filename file type association,compression
78,internal,viewer,file
78,gb,text,hex mode
79,handle,file,gb
81,user,menu,all selected file
81,select,directory,NA
83,have,toolbars,any location
85,render,folder enumeration,NA
86,tab,which listview,NA
88,drop,file,the folder
89,breadcrumb,bar,fast access
89,allow,parent folder,the current path hierarchy
90,dropdown,menu,direct access
90,allow,other folder,the folder hierarchy
91,support,total commander lister plug,NA
92,use,file,other explorer replacement
92,have,multiple list,one time
92,become,a favorite view,many application
93,customizable,association menu key mouse gesture alias,NA
94,multiple,language,unicode support
95,burn,cd,dvd
95,burn,total commander s directory structure,command and burning project
95,display,a pseudo directory and pseudo file,NA
96,plan,type videocd super video cd udf data cd,NA
97,verify,data and videodvd project,NA
98,erase,rewritable medium mode,NA
99,display,information,available burning device brand vendor product
99,insert,session,NA
100,explore,visualize,drive space usage
101,find,the disk space hog,just a few click
102,visualize,the distribution,file
102,visualize,file type age,size
103,schedule,automatic scan,report
104,reclaim,gigabyte,drive space
104,reclaim,minute,NA
105,customize,program layout,your individual need
106,thread,algorithm,better performance
107,interactive,dynamic full color customizable bar,pie chart
108,scan,filtering,powerful regular expression
110,file,type and extension report,NA
111,top,file,size age
111,top,owner,NA
112,drive,space monitor,NA
113,chart,export,clipboard and image file
114,search,tab,your system
114,search,file,the last hour
114,need,a list,all text file
114,contain,your name,a finding tab
114,do,any other search job,a single click
115,file,url and search term,search pattern
115,put,location and search pattern boolean operator,regular expression
116,offer,a suite,unique highlighting option
116,increase,visual grip highlight folder,branch favorite folder
116,box,bold highlight,row highlight sorted column
116,color,all color,NA
117,find,file xyplorer,a high end search engine
117,feature,tremendous power,amazing speed
117,support,boolean logic advanced pattern,regular expression
117,match,boolean regexp,the boolean combination
117,support,multiple location search,a duplicate file finder
118,configurable,toolbar,a configurable toolbar
118,configurable,most button,a specific right click menu
118,have,additionally many button,a dropdown menu
119,float,the  preview,the current file
119,show,a non modal preview window,whose size and absolute screen position
119,store,session,all type
119,support,image,snapshot preview
119,generate,thumbnail,the window
119,resize,the preview,real time
120,support,archive zip rar ace cab jar tar lha,NA
121,support,l plug,wcx
122,build,viewer,quick view function
123,work,a net environment,NA
124,drop,work,other application
127,build,file viewer,text rtf
128,system,tree view,both panel
128,mimic,window explorer,NA
129,advanced,change attribute capability recurse subdirectory ability,system attribute ability
130,advanced,filtering capability,file panel
130,advanced,basic operation,copy move
131,build,quick directory change,NA
132,wipe,the file,the disk
133,customisable,colour,the file panel
134,build,medium player,quick preview
134,open,separate application,NA
135,detailed,very simple user interface,NA
136,full,clipboard support,file name and file path copy
137,build,strong encryption capability,quick fil encryption
138,detailed,directory info display,graph
139,commandline,field,quick command
141,fast,selection deselection,multiple file
141,use,filter,NA
142,save,current selection,memory
143,history,button,the latest location
143,be,fast access,NA
144,disconnect,usb,remote device
144,disconnect,inside multi commander,NA
145,show,file,detailed or list or thumbnail list mode
146,browse,the registry,NA
147,browse,archive zip zip rar tar gz,NA
148,run,background,the main window
149,delete,file,archive eg zip
150,copy,move file operation,NA
151,exclude,file,folder
152,copy,move plugins,auto sort auto unpack content copy
153,unpack,individual folder,NA
154,pack,zip tar,tar
155,copy,selection,NA
156,find,opened locked file,what process
156,find,a specific file,NA
157,change,file attribute date,time
158,run,multi commander,portable usb device
159,mulit,update,mulit commander
159,update,latest version,NA
160,send,filename,fullpath
161,send,comma separated list,all selected file
161,select,the clipboard,NA
162,image,information,clipboard screen capture
162,save,a jpg png bmp,ctrl v paste
163,text,information,clipboard
163,save,text file,ctrl v paste
164,reformat,compact xml file,NA
165,create,junctionssymlinkshardlinks,NA
166,file,system browser,link
167,show,link target,file system browser
168,remove,file permission,all user
168,remove,file folder,NA
169,add,permission,user group
169,add,file folder,NA
170,remove,meta data,NA
171,export,data,text file
172,show,data,a column
172,show,the file system browser,NA
173,strip,exif information,picture
174,adjust,exif date information,picture
174,change,the time,NA
175,adjust,picture file date,the date
175,adjust,the exif date information,NA
176,show,exif data column,the file system browser
177,show,movie information,rating genre
177,show,more a column,movie file
178,get,movie information,imdb
178,get,rottentomato,NA
179,look,file content file attribute file size file time,NA
180,remove,item,group
180,remove,search result,context menu
181,verify,sfv file,NA
182,verify,crc code,a file
183,rename,all bad file,NA
184,delete,all bad file,NA
185,auto,start,sfv file
185,click,the file system browser,NA
186,plugin,eg registry,ftp zip rar
187,copy,move file operation plugins eg auto unpack auto sorting file,NA
188,file,property plugin,file property
188,show,column eg,exif
188,show,meta information,NA
189,create,zip and iso file,NA
190,upload,file,the internet
190,use,ftp,NA
191,fast,file management,the keyboard
192,build,viewer,many file format
193,require,self extracting zip,convenience
194,require,the folder,NA
195,free,non professional home use,NA
196,view,disk space consumption,the help
196,view,disk space usage report,file type file size attribute file date
196,group,file ownership,exactly how file
196,consume,your computer,NA
197,specify,your own search term,unwanted file
197,look,folder,your disk space
198,become,useless file junk temporary internet file zero size file etc diskanalyzer,such file
198,regain,gigabyte,NA
200,see,a list,biggest space hogging file
200,see,a old unused file,your hard disk drive
200,delete,these file,big chunk
200,regain,disk space,NA
201,fill,file,such a video image audio file compressed file
201,duplicate,hard disk diskanalyzer,these file
201,remove,not required file,NA
202,perform,a disk search,the command prompt
202,create,a saved disk report archive,detailed disk space analysis
202,use,any scheduling program,the disk search
203,consist,a single list,all folder
203,sort,file size,how many folder
203,consume,the disk space,NA
204,file,level,any disk space report
204,use,file explorer viewer,all the file
204,list,a particular disk space report,the list
204,use,multiple criterias,such a file name
204,use,wild card file size date file type file path,NA
205,export,the disk space report,external file
205,save,a html csv and xml file,comparison
205,maintain,disk space usage history,NA
206,seamless,virtual folder,zipfolders
207,extended,file folder detail tag checksum,NA
209,find,file,hyperfilters e g locate file
209,search,their comment,keywords
210,cleanup,file,NA
211,manage,many folder,dual pane
211,use,tab,NA
212,easy,folder comparison synchronization,NA
213,powerful,visual filtering and selection engine,NA
214,touch,date,split merge
214,touch,shred file,NA
215,execute,text command,script
215,do,file,NA
216,advanced,ntfs,hard link file comment
218,export,file information,a text
219,focus,usability,keyboard
220,integrated,file search,those lost file
221,integrated,quick launch area,fast access
221,integrate,the program,NA
222,favorite,button,those often used folder
223,dual,pane view,speed
223,demand,file management,NA
224,require,no installation,no data
224,write,the system registry s configuration information,a local ini file
225,keep,your pen jump,NA
226,erase,a whole hard drive,NA
227,integrate,the window shell,NA
228,delete,multiple file,NA
229,ultra,flexibility,NA
231,file,joiner splitter support,all the popular file format avi mpeg exe
231,file,any other type,NA
232,file,joiner,splitter
232,file,the size limit,other software
232,test,our software,file
232,test,no problem,NA
233,make,split file,computer
233,make,our software,convenient splitting method split file
234,come,a beautiful new user interface,NA
235,remove,our software,NA
236,easy,user friendly and intuitive interface,NA
237,launch,window explorer shell context menu,NA
238,search,every kind,drive internal external network cd
239,calculate,the size,the folder
240,search,file,folder
240,folder,only ,NA
241,select,the local or network drive,single drive
242,search,plain text file,binary file
242,look,their raw format,e g txt html csv exe dll obj
243,specify,the text mask,way word
243,specify,phrase,NA
244,ignore,file,certain type hidden system image audio video
