                                                                                                                   New Requirements  Similarity Scores
162                         System shall provide the user with the ability to provide pure freedom two optional customizable method           0.026748
88                        System shall provide the user with the ability to close warning mcafee global threat intelligence gti gti           0.027791
158                                                        System shall provide the user with the ability to augment coded icon ons           0.028258
86                       System shall provide the user with the ability to close a number mcafee global threat intelligence gti gti           0.028343
154                                                            System shall provide the user with the ability to rid coded icon ons           0.028600
172                            System shall provide the user with the ability to eset pure freedom two optional customizable method           0.028797
96                         System shall provide the user with the ability to pop a number mcafee global threat intelligence gti gti           0.028921
92                      System shall provide the user with the ability to support warning mcafee global threat intelligence gti gti           0.029373
174                System shall provide the user with the ability to eset built firewall monitor eset sysrescue simplify diagnosing           0.029515
22                           System shall provide the user with the ability to protect pure freedom intentional modification damage           0.029862
18                           System shall provide the user with the ability to protect pure freedom intentional modification damage           0.029862
229                                       System shall provide the user with the ability to incorporate art technique lab checkmark           0.029905
176                             System shall provide the user with the ability to eset antivirus eset sysrescue simplify diagnosing           0.030229
225                                           System shall provide the user with the ability to include art technique lab checkmark           0.030360
226                            System shall provide the user with the ability to incorporate a bidirectional firewall lab checkmark           0.030574
6                 System shall provide the user with the ability to expand a unique dedicated browser ten different e mail language           0.030585
184          System shall provide the user with the ability to integrated built firewall monitor eset sysrescue simplify diagnosing           0.030996
230                                  System shall provide the user with the ability to state a bidirectional firewall lab checkmark           0.031074
163                                               System shall provide the user with the ability to provide pure freedom technology           0.031095
164                       System shall provide the user with the ability to provide smart security two optional customizable method           0.031258
159                                             System shall provide the user with the ability to augment coded icon online banking           0.031694
115                                         System shall provide the user with the ability to do chat agent an isolated environment           0.031982
161                                       System shall provide the user with the ability to augment mystery toolbars online banking           0.032050
155                                                 System shall provide the user with the ability to rid coded icon online banking           0.032065
38                                                       System shall provide the user with the ability to optimize list heavy load           0.032348
183                                           System shall provide the user with the ability to integrated sysinspector antispyware           0.032665
151                                         System shall provide the user with the ability to color mystery toolbars online banking           0.032717
180                            System shall provide the user with the ability to escan antivirus eset sysrescue simplify diagnosing           0.032901
87                                                         System shall provide the user with the ability to close a number restart           0.033042
10              System shall provide the user with the ability to firewall a unique dedicated browser ten different e mail language           0.033090
223                  System shall provide the user with the ability to include a second globally recognized engine the injected dll           0.033374
233                    System shall provide the user with the ability to state a second globally recognized engine the injected dll           0.033405
119                                        System shall provide the user with the ability to run chat agent an isolated environment           0.033445
89                                              System shall provide the user with the ability to close warning notification object           0.033506
211                                 System shall provide the user with the ability to bitdefender spam integrates a remote location           0.033532
19                                        System shall provide the user with the ability to protect pure freedom fraudulent website           0.033751
23                                        System shall provide the user with the ability to protect pure freedom fraudulent website           0.033751
179                                                System shall provide the user with the ability to escan sysinspector antispyware           0.033763
260                             System shall provide the user with the ability to rise remote support high intelligence performance           0.033819
236                                           System shall provide the user with the ability to call remote configuration operation           0.033843
48                                                         System shall provide the user with the ability to secure list heavy load           0.034027
40                                  System shall provide the user with the ability to optimize network based recognition heavy load           0.034082
97                                                           System shall provide the user with the ability to pop a number restart           0.034118
264                         System shall provide the user with the ability to flexible remote support high intelligence performance           0.034316
168                             System shall provide the user with the ability to s smart security two optional customizable method           0.034367
221                                      System shall provide the user with the ability to access spam integrates a remote location           0.034390
173                                                  System shall provide the user with the ability to eset pure freedom technology           0.034407
222                System shall provide the user with the ability to include a second globally recognized engine your wi fi network           0.034546
234                                         System shall provide the user with the ability to call built firewall monitor operation           0.034546
232                  System shall provide the user with the ability to state a second globally recognized engine your wi fi network           0.034576
202                                                  System shall provide the user with the ability to sync registry autorun device           0.034752
187                                      System shall provide the user with the ability to call a unique dedicated browser security           0.034770
185                                 System shall provide the user with the ability to integrated built firewall monitor antispyware           0.034887
160                                   System shall provide the user with the ability to augment mystery toolbars your search result           0.035019
51                                      System shall provide the user with the ability to include a combination unauthorized access           0.035117
175                                       System shall provide the user with the ability to eset built firewall monitor antispyware           0.035407
204                                                            System shall provide the user with the ability to sync all type hklm           0.035522
258                                       System shall provide the user with the ability to rise time high intelligence performance           0.035560
227                         System shall provide the user with the ability to incorporate a bidirectional firewall the injected dll           0.035620
157                                                              System shall provide the user with the ability to rid security ons           0.035695
150                                     System shall provide the user with the ability to color mystery toolbars your search result           0.035708
189                                      System shall provide the user with the ability to call central management your transaction           0.036036
153                                                            System shall provide the user with the ability to color security ons           0.036074
93                                            System shall provide the user with the ability to support warning notification object           0.036077
82                                         System shall provide the user with the ability to avoid buffer overflow the intelligence           0.036085
231                               System shall provide the user with the ability to state a bidirectional firewall the injected dll           0.036144
228                                  System shall provide the user with the ability to incorporate art technique your wi fi network           0.036218
44                                   System shall provide the user with the ability to process network based recognition heavy load           0.036593
9    System shall provide the user with the ability to expand an essential antivirus security feature ten different e mail language           0.036648
41                                      System shall provide the user with the ability to optimize network based recognition detail           0.036703
224                                      System shall provide the user with the ability to include art technique your wi fi network           0.036707
197                                  System shall provide the user with the ability to powerful a unique dedicated browser security           0.036717
186                                      System shall provide the user with the ability to call a unique dedicated browser the task           0.036756
210                                              System shall provide the user with the ability to bitdefender spam integrates work           0.036770
146                                        System shall provide the user with the ability to combine personal data parameter access           0.036782
244                                        System shall provide the user with the ability to allow built firewall monitor operation           0.036790
240                                          System shall provide the user with the ability to escan remote configuration operation           0.036831
100                                       System shall provide the user with the ability to avast quarantine capability all edition           0.036871
59                            System shall provide the user with the ability to remove a bidirectional firewall unauthorized access           0.036988
188                                              System shall provide the user with the ability to call central management the task           0.037077
104                                       System shall provide the user with the ability to escan quarantine capability all edition           0.037227
84                                                        System shall provide the user with the ability to avoid use vulnerability           0.037297
78                                          System shall provide the user with the ability to make buffer overflow the intelligence           0.037501
55                           System shall provide the user with the ability to control a bidirectional firewall unauthorized access           0.037562
193                                      System shall provide the user with the ability to shop central management your transaction           0.037577
268                                      System shall provide the user with the ability to escan time high intelligence performance           0.037719
206                                                  System shall provide the user with the ability to stop registry autorun device           0.037749
220                                                   System shall provide the user with the ability to access spam integrates work           0.037761
111                                     System shall provide the user with the ability to phone deep system an isolated environment           0.037806
46                                                            System shall provide the user with the ability to secure speed detail           0.037828
5      System shall provide the user with the ability to shop an essential antivirus security feature ten different e mail language           0.037843
205                                                          System shall provide the user with the ability to sync all type device           0.037998
61                                       System shall provide the user with the ability to remove a combination unauthorized access           0.038064
50                                       System shall provide the user with the ability to include a combination your wi fi network           0.038130
110                                                        System shall provide the user with the ability to phone deep system hand           0.038281
142                                           System shall provide the user with the ability to find personal data parameter access           0.038351
203                                                 System shall provide the user with the ability to sync registry autorun malware           0.038410
58                                     System shall provide the user with the ability to remove a bidirectional firewall technology           0.038453
74                                                        System shall provide the user with the ability to guard use vulnerability           0.038484
39                                              System shall provide the user with the ability to optimize list suspicious software           0.038581
196                                  System shall provide the user with the ability to powerful a unique dedicated browser the task           0.038590
192                                              System shall provide the user with the ability to shop central management the task           0.038605
235                                  System shall provide the user with the ability to call built firewall monitor the server admin           0.038801
132                                               System shall provide the user with the ability to ensure any attempt nasty threat           0.038844
98                                      System shall provide the user with the ability to avast browser cleanup feature all edition           0.038939
83                                        System shall provide the user with the ability to avoid buffer overflow the previous scan           0.039024
42                                                           System shall provide the user with the ability to process speed detail           0.039032
243                                            System shall provide the user with the ability to allow silent mode the server admin           0.039047
54                                    System shall provide the user with the ability to control a bidirectional firewall technology           0.039079
200                                                           System shall provide the user with the ability to check all type hklm           0.039164
76                                            System shall provide the user with the ability to guard rescanning file vulnerability           0.039269
2                                  System shall provide the user with the ability to shop language blocker detects your transaction           0.039337
17                 System shall provide the user with the ability to s your online banking activity intentional modification damage           0.039450
7                                       System shall provide the user with the ability to expand a unique dedicated browser your pc           0.039454
237         System shall provide the user with the ability to call remote configuration both incoming and outgoing network activity           0.039543
45                                       System shall provide the user with the ability to process network based recognition detail           0.039566
