New Requirements	Similarity Scores
System shall provide the user with the ability to enhance language english spanish italian german nan	0.03274725874273872
System shall provide the user with the ability to burst language english spanish italian german nan	0.033128192057359326
System shall provide the user with the ability to customizable language english spanish italian german nan	0.03332393841445351
System shall provide the user with the ability to galaxy bittyrant bitspirit deluge ktorrent dual network capacity environment	0.0334415971136286
System shall provide the user with the ability to lock text snippet a toolbar context menu toolbar	0.03373002906798532
System shall provide the user with the ability to localization bittyrant bitspirit deluge ktorrent translator	0.033778169730483296
System shall provide the user with the ability to enhance bittyrant bitspirit deluge ktorrent french	0.0337967910120892
System shall provide the user with the ability to destination so much digital medium the main incoming directory destination directory	0.03383735722344263
System shall provide the user with the ability to silent bittyrant bitspirit deluge ktorrent translator	0.033864130848539065
System shall provide the user with the ability to instal multiformat medium player mediaget dual network capacity environment	0.03387363231840585
System shall provide the user with the ability to save bittyrant bitspirit deluge ktorrent dual network capacity environment	0.0339287950232103
System shall provide the user with the ability to autocomplete work gb byte byte	0.03407217172056197
System shall provide the user with the ability to write information a unique bit rsa public key	0.03409123969788249
System shall provide the user with the ability to customizable language english spanish italian german several skin	0.03420478602994769
System shall provide the user with the ability to destination music the main incoming directory destination directory	0.034320673519329326
System shall provide the user with the ability to localization bittyrant bitspirit deluge ktorrent an eye	0.034641781690611446
System shall provide the user with the ability to enhance multiformat medium player mediaget nan	0.034681285001351175
System shall provide the user with the ability to lock regexp s a toolbar context menu toolbar	0.03468695373737456
System shall provide the user with the ability to embed bittyrant bitspirit deluge ktorrent music	0.03471306352592402
System shall provide the user with the ability to enhance bittyrant bitspirit deluge ktorrent music	0.03471306352592402
System shall provide the user with the ability to silent bittyrant bitspirit deluge ktorrent an eye	0.03472826789517861
System shall provide the user with the ability to galaxy bittyrant bitspirit deluge ktorrent exactly what	0.0347807384874358
System shall provide the user with the ability to install bittyrant bitspirit deluge ktorrent french	0.035032848355549526
System shall provide the user with the ability to burst multiformat medium player mediaget nan	0.035105666275880375
System shall provide the user with the ability to save bittyrant bitspirit deluge ktorrent exactly what	0.03532961125869596
System shall provide the user with the ability to save multiformat medium player mediaget dual network capacity environment	0.03536868919611124
System shall provide the user with the ability to write multiformat medium player mediaget nan	0.035469912843728774
System shall provide the user with the ability to receive regexp s a toolbar context menu toolbar	0.03553988351993399
System shall provide the user with the ability to conceive config icf internet connection firewall official	0.035655268683146876
System shall provide the user with the ability to destination that page report the main incoming directory destination directory	0.035670563962556655
System shall provide the user with the ability to customize config icf internet connection firewall nan	0.035776115163341095
System shall provide the user with the ability to operate config icf internet connection firewall nan	0.03581068184018877
System shall provide the user with the ability to galaxy multiformat medium player mediaget nan	0.03585068755938321
System shall provide the user with the ability to write multiformat medium player mediaget exactly what	0.036033159057035496
System shall provide the user with the ability to skip so much digital medium the main incoming directory destination directory	0.036037405509757786
System shall provide the user with the ability to improve config icf internet connection firewall nan	0.0360729075072006
System shall provide the user with the ability to galaxy user name gb byte byte	0.03618069721473588
System shall provide the user with the ability to galaxy multiformat medium player mediaget exactly what	0.03640648528743751
System shall provide the user with the ability to delete music the main incoming directory destination directory	0.03647511353226835
System shall provide the user with the ability to filter config icf internet connection firewall official	0.03652336816494803
System shall provide the user with the ability to resume config icf internet connection firewall nan	0.03659406780874859
System shall provide the user with the ability to lock text snippet wildcards	0.03662157925087154
System shall provide the user with the ability to save so much digital medium dual network capacity environment	0.036659054967572935
System shall provide the user with the ability to rate config icf internet connection firewall nan	0.03670660933473268
System shall provide the user with the ability to support work gb byte byte	0.03685785253294434
System shall provide the user with the ability to save transparency dual network capacity environment	0.037083732878191736
System shall provide the user with the ability to client information a unique bit rsa public key	0.037123197090692055
System shall provide the user with the ability to enhance country flag translator	0.0371431144193439
System shall provide the user with the ability to prevent no timeconsuming ning precious free slot	0.03726352798211603
System shall provide the user with the ability to store hash table host nan	0.037265477248935495
System shall provide the user with the ability to use language english spanish italian german nan	0.03729347211217007
System shall provide the user with the ability to nice pas band fast recovery toolkit qbittorrent	0.03752794712888447
System shall provide the user with the ability to localization country flag translator	0.037601757481843044
System shall provide the user with the ability to include text snippet a lot	0.03768820508475439
System shall provide the user with the ability to lock regexp s nan	0.03781559407042106
System shall provide the user with the ability to automatic no timeconsuming ning nan	0.03786214950837482
System shall provide the user with the ability to use text snippet a toolbar context menu toolbar	0.037923175054489396
System shall provide the user with the ability to conceive a full line usage exactly what	0.03795720020668293
System shall provide the user with the ability to decide adlsearch proxy http	0.03803790828307605
System shall provide the user with the ability to enhance c stable and fast very low cpu usage a unique bit rsa public key	0.03803864276778879
System shall provide the user with the ability to localization stats translator	0.038073158085969575
System shall provide the user with the ability to bundle pm s nan	0.03807332372778629
System shall provide the user with the ability to use language english spanish italian german several skin	0.03808260373141218
System shall provide the user with the ability to filter cleanup nan	0.03809114115476085
System shall provide the user with the ability to better hash table host nan	0.038147986667218525
System shall provide the user with the ability to conceive a full line usage official	0.03815721348464408
System shall provide the user with the ability to receive toolbars nan	0.03817143892126661
System shall provide the user with the ability to show config icf internet connection firewall nan	0.03828856509943391
System shall provide the user with the ability to play that page report the main incoming directory destination directory	0.03842690777674424
System shall provide the user with the ability to save music dual network capacity environment	0.03842927351106128
System shall provide the user with the ability to smart webservices advanced state	0.038459549916490705
System shall provide the user with the ability to feature config icf internet connection firewall chatter	0.03854060279286519
System shall provide the user with the ability to feature config icf internet connection firewall a webserver	0.03855968270683954
System shall provide the user with the ability to delete directory a meeting	0.03863703910212007
System shall provide the user with the ability to support distributed hash table implementation nan	0.03865442150361825
System shall provide the user with the ability to support distributed hash table implementation nan	0.03865442150361825
System shall provide the user with the ability to bundle pm s whomever	0.038669662058528224
System shall provide the user with the ability to enhance a proxy official	0.0386837615782505
System shall provide the user with the ability to conceive a proxy official	0.0386837615782505
System shall provide the user with the ability to improve pm s nan	0.03879123990855466
System shall provide the user with the ability to prevent a multitude precious free slot	0.03879699961719336
System shall provide the user with the ability to receive toolbars wildcards	0.03879829463981039
System shall provide the user with the ability to play language english spanish italian german this option	0.03879911134224575
System shall provide the user with the ability to include text snippet any error	0.03882641548422818
System shall provide the user with the ability to prevent a multitude nan	0.038826749376042864
System shall provide the user with the ability to conceive config icf internet connection firewall user	0.03883213780690853
System shall provide the user with the ability to enhance language english spanish italian german search result	0.03888623725099276
System shall provide the user with the ability to control no timeconsuming ning nan	0.038900488525969404
System shall provide the user with the ability to integration pm s nan	0.03890752160577509
System shall provide the user with the ability to chat config icf internet connection firewall chatter	0.03893172996237137
System shall provide the user with the ability to include a log nan	0.03894418007219515
System shall provide the user with the ability to chat config icf internet connection firewall a webserver	0.03894803325101493
System shall provide the user with the ability to support user name gb byte byte	0.03900334028803663
System shall provide the user with the ability to edit menu dual network capacity environment	0.03900436326426051
System shall provide the user with the ability to destination so much digital medium t	0.03904412118655985
System shall provide the user with the ability to receive regexp s nan	0.03904834531044345
System shall provide the user with the ability to localization zultrax nan	0.03916300467621812
System shall provide the user with the ability to connect a multitude precious free slot	0.03916981588007979
System shall provide the user with the ability to localization category translator	0.039189450033554334
System shall provide the user with the ability to modify music nan	0.03920752117165363
System shall provide the user with the ability to burst zultrax nan	0.03922730259324946
System shall provide the user with the ability to embed information nan	0.03924398145116958
System shall provide the user with the ability to galaxy a full line usage exactly what	0.03926364919406144
System shall provide the user with the ability to connect a multitude nan	0.03926456570155884
System shall provide the user with the ability to operate dropbox nan	0.03928597761689163
System shall provide the user with the ability to smooth category translator	0.03929023769672902
System shall provide the user with the ability to burst language english spanish italian german search result	0.03931627297849267
System shall provide the user with the ability to have transfer rate summary malicious company	0.03936557176544049
System shall provide the user with the ability to save menu dual network capacity environment	0.03937414820087525
System shall provide the user with the ability to enhance bittyrant bitspirit deluge ktorrent search result	0.039412965939920074
System shall provide the user with the ability to enhance bittyrant bitspirit deluge ktorrent search result	0.039412965939920074
System shall provide the user with the ability to embed bittyrant bitspirit deluge ktorrent search result	0.039412965939920074
System shall provide the user with the ability to customize music nan	0.039514643440050234
System shall provide the user with the ability to skip so much digital medium t	0.03952003993409606
System shall provide the user with the ability to autosearch zultrax doesn t crash both folder	0.03954204304071527
System shall provide the user with the ability to galaxy a full line usage official	0.03954320517131962
System shall provide the user with the ability to receive a log nan	0.0395887138045047
System shall provide the user with the ability to localization zultrax translator	0.03970369500126122
System shall provide the user with the ability to smooth regexp s a custom	0.03970583604911019
System shall provide the user with the ability to efficient menu unchoking algorithm	0.039735788023896726
System shall provide the user with the ability to filter config icf internet connection firewall user	0.03973899118189649
System shall provide the user with the ability to shell tracker dual network capacity environment	0.03976334102292602
System shall provide the user with the ability to smooth medium player a custom	0.03976733858625603
System shall provide the user with the ability to burst zultrax translator	0.03976819546617383
System shall provide the user with the ability to prevent no timeconsuming ning a way	0.03977817468395695
System shall provide the user with the ability to upload no timeconsuming ning precious free slot	0.03978033500623179
System shall provide the user with the ability to localization information nan	0.03978212709995219
System shall provide the user with the ability to delete music a meeting	0.03978921483112646
System shall provide the user with the ability to enhance emule nan	0.039799311338251486
System shall provide the user with the ability to improve a proxy archive	0.03982025276054003
System shall provide the user with the ability to play directory a meeting	0.03982667751107728
System shall provide the user with the ability to burst information nan	0.03984689526946831
System shall provide the user with the ability to burst information nan	0.03984689526946831
System shall provide the user with the ability to destination music a meeting	0.03994795514874457
System shall provide the user with the ability to efficient control unchoking algorithm	0.039954872460070734
